Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area^2,City,Price(�),Location,Type of Property
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3,4,3,Vacant,1960,Dhaka,"260,573","Gulshan 1, Gulshan",Flat
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3,3,1,Vacant,1705,Dhaka,"112,915","Lake Circus Road, Kalabagan",Apartment
1370 square feet apartment is ready to sale in Shukrabad,3,3,6,Vacant,1370,Dhaka,"83,517","Shukrabad, Dhanmondi",Apartment
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3,3,4,Vacant,2125,Dhaka,"133,627","Block L, Bashundhara R-A",Apartment
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3,3,4,Vacant,2687,Dhaka,"317,365","Road No 25, Banani",Flat
Modern 1150 Sq Ft Flat For Sale In Badda,3,3,3,Vacant,1150,Dhaka,"58,796","Middle Badda, Badda",Flat
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3,3,8,Vacant,2119,Dhaka,"126,946","Block B, Bashundhara R-A",Apartment
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4,4,2,Vacant,2318,Dhaka,"153,671","Block D, Bashundhara R-A",Flat
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3,3,8,Vacant,1397,Dhaka,"53,451","Matuail, Demra",Flat
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3,3,1,Vacant,2400,Dhaka,"133,627","Block H, Aftab Nagar",Flat
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3,3,3,Vacant,1300,Dhaka,"53,451","West Dolairpar, Shyampur",Flat
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3,3,4,Vacant,1300,Dhaka,"53,451","West Dolairpar, Shyampur",Flat
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3,3,6,Vacant,1300,Dhaka,"53,451","West Dolairpar, Shyampur",Flat
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3,3,1,Vacant,1900,Dhaka,"140,309","Block B, Bashundhara R-A",Duplex
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3,3,5,Vacant,1500,Dhaka,"73,495","Block H, Aftab Nagar",Flat
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3,3,3,Vacant,1450,Dhaka,"63,473","Sector 10, Uttara",Apartment
Offering you 750 SQ FT flat for sale in Uttara 10,2,2,2,Vacant,750,Dhaka,"41,424","Sector 10, Uttara",Flat
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,3,4,Vacant,2343,Dhaka,"146,990","Sector 6, Uttara",Flat
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,Vacant,1185,Dhaka,"73,495","Lake Circus Road, Kalabagan",Apartment
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,Vacant,1610,Dhaka,"87,526","Block H, Bashundhara R-A",Apartment
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,Vacant,2180,Dhaka,"116,924","Block J, Bashundhara R-A",Apartment
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,Vacant,3650,Dhaka,"521,147","Gulshan 2, Gulshan",Flat
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,Vacant,5000,Dhaka,"734,950","Free School Street, Kathalbagan",Commercial Property
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,Vacant,2700,Dhaka,"367,475","Gulshan 1, Gulshan",Apartment
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,Vacant,1175,Dhaka,"55,455","Baitul Aman Housing Society, Adabor",Not Specified
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,Vacant,650,Dhaka,"20,712","Section 6, Mirpur",Flat
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,Vacant,1331,Dhaka,"106,902","Sector 4, Uttara",Apartment
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,Vacant,900,Dhaka,"30,066","Nobodoy Housing Society, Mohammadpur",Apartment
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3,3,2,Vacant,1350,Dhaka,"94,875","Free School Street, Kathalbagan",Flat
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3,3,5,Vacant,1200,Dhaka,"50,110","Pallabi, Mirpur",Flat
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3,3,1,Vacant,2045,Dhaka,"157,847","Sector 7, Uttara",Apartment
Offering 1500 Sq Ft Flat For Sale In Niketan,3,3,1,Vacant,1500,Dhaka,"167,034","Block C, Niketan",Flat
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3,3,4,Vacant,1410,Dhaka,"92,203","Vashani Goli, Shantinagar",Apartment
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2,2,5,Vacant,650,Dhaka,"26,725","Gandaria, Sutrapur",Flat
An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3,3,8,Vacant,1100,Dhaka,"31,402","Dhaka Uddan, Mohammadpur",Apartment
